PANGAEA Sample ID	Raw reads	Raw bases	HQ Reads	HQ Bases	Avg. read length [nt]	Avg. base score	Stdev base score	HQ Reads [%]	Scaftigs >= 500nt	Total scaftig length [nt]	Max. scaftig length [nt]	Scaftigs N50	Predicted genes											
TARA_B100000586	417176234	40972598148	361874453	32739315967	90	37.28	3.45	80%	263368	263409089	207699	1020	434075											
TARA_B100000575	380365534	37502869577	341481107	31528979905	92	37.61	3.36	84%	386721	390986072	80195	1020	667025											
TARA_B100000945	412959348	40647195730	360151130	32652766601	91	37.60	3.33	80%	358626	365898501	229762	1028	621726											
TARA_B100000949	303174866	29845328495	279762247	26068654336	93	37.44	3.32	87%	268690	286949621	240852	1102	456639											
TARA_B100000941	399008374	39368758098	355229985	32800447007	92	37.56	3.37	83%	334995	313197324	697402	911	559649											
TARA_Y100001973	159910022	15926129307	147817751	13747940361	93	37.84	3.19	86%	158503	202053840	157273	1491	344419											
TARA_Y100001970	324054998	32413870767	304234051	28503634611	94	38.16	3.04	88%	443824	553127834	210964	1415	879692											
TARA_B100000700	306153050	30355108818	283044306	26265887253	93	37.82	3.21	87%	457148	545626294	281411	1316	868093											
TARA_Y100001968	347261120	34457569923	312056352	28505770388	91	37.72	3.24	83%	430890	476214857	125509	1156	771901											
TARA_Y100001951	151977910	15005033380	141484248	13028659026	92	37.70	3.23	87%	150323	152073116	108612	999	277597											
TARA_Y100001949	273102530	27113036296	253730444	23648210833	93	37.88	3.11	87%	190434	200481007	125762	1079	332754											
TARA_B100000678	398717238	39633639859	368812914	33991720948	92	37.68	3.19	86%	296119	308401963	147338	1069	510098											
TARA_Y100001947	311860416	30899230136	281683541	25590974235	91	37.50	3.28	83%	174838	197660555	119143	1212	311418											
TARA_Y100001972	165622264	16521015665	154155393	14362073624	93	38.02	3.11	87%	160370	195364869	564136	1349	338826											
TARA_Y100001980	266045520	26665862774	254676087	24160432826	95	38.35	2.93	91%	211064	198393668	301362	907	355064											
TARA_B100001115	278380318	27673835345	260313225	24420757008	94	37.99	3.14	88%	253473	246784037	101667	957	429765											
TARA_Y100001978	305930738	30605365717	285627265	26767502925	94	38.10	3.04	87%	254445	267195171	126437	1068	443031											
TARA_Y100001963	190841206	19015053344	172469048	15904647911	92	37.87	3.17	84%	212694	265115976	133855	1431	457569											
TARA_Y100001960	337901332	33719664950	310300279	28994276505	93	37.73	3.19	86%	488353	549766256	244919	1191	890760											
TARA_B100000686	368111100	36734411623	345426075	32390550858	94	37.86	3.12	88%	552104	611982703	390571	1163	992532											
TARA_Y100001956	329728372	32559529869	295689763	27058100964	92	37.30	3.36	83%	105100	126726140	244882	1341	193130											
TARA_Y100001958	374941772	37403870771	336769117	31043295114	92	37.94	3.16	83%	337372	330431877	74639	976	582043											
TARA_B100000683	342284306	33651563993	305178642	27482260785	90	37.51	3.32	82%	301111	357773788	189662	1292	561118											
TARA_Y100001954	374612616	36955932197	329497300	30155795019	92	37.50	3.35	82%	328274	398553874	230744	1333	615014											
TARA_Y100001938	180068338	17960417808	167653411	15609854380	93	37.99	3.13	87%	206777	251650145	107806	1365	442624											
TARA_Y100001936	306812936	30655738825	286976463	27010579099	94	38.18	3.03	88%	377367	414754532	163320	1149	690770											
TARA_B100000676	371995044	37199555018	351412096	32981302772	94	37.97	3.06	89%	488461	524892992	320843	1114	861480											
TARA_Y100001934	336043878	33180959254	305470648	27900707226	91	37.55	3.26	84%	434762	525386675	337673	1344	798028											
TARA_Y100001937	159381578	15803315597	148010629	13863120459	94	37.97	3.14	88%	159280	197920294	461601	1414	340494											
TARA_Y100001935	299392980	29947673825	280550248	26489236244	94	38.23	2.99	88%	294005	301665731	325214	1032	517396											
TARA_B100000674	635896664	63791037062	572835473	51192942761	89	37.85	3.16	80%	552122	613814565	305257	1161	983124											
TARA_Y100001933	345587612	34238387565	308549712	27990300966	91	37.68	3.27	82%	307017	371102482	325210	1326	571321											
TARA_Y100000593	207659762	20296699170	188631510	16957226183	90	37.35	3.54	84%	145635	205449904	181181	1809	345817											
TARA_Y100000591	355384504	35092551118	330237468	30266002610	92	37.72	3.40	86%	394138	416454440	191676	1080	715159											
TARA_B100001123	370803024	36522951316	328380341	29871967396	91	37.47	3.35	82%	550363	669353477	484556	1354	1037513											
TARA_Y100000589	393280108	38545099264	353226124	31473202256	89	37.29	3.56	82%	354188	415155041	192623	1270	648871											
TARA_Y100000592	174494062	17166658668	160086563	14529323406	91	37.50	3.48	85%	147896	193732176	103527	1550	326523											
TARA_Y100000590	380903618	37554178181	348530126	31816049790	91	37.59	3.43	85%	514256	637796702	568216	1400	1023347											
TARA_B100001121	328505148	32798923827	307957576	28848805650	94	38.04	3.06	88%	358174	372348792	201089	1044	628184											
TARA_Y100000588	348200200	33748168523	318738840	28243810371	89	37.29	3.55	84%	514528	609711466	236072	1301	937871											
TARA_B100000614	297815870	29552159601	278182539	25618913514	92	37.99	3.10	87%	275653	311285435	498513	1187	499459											
TARA_B100000609	306384522	30384671904	284445761	25535992286	90	37.97	3.11	84%	264160	266906348	325210	998	442704											
TARA_B100001250	522620482	51241793953	433149549	38909159725	90	37.16	3.51	76%	463396	478885175	96260	1060	799643											
TARA_B100001245	407894524	40054972110	360434425	32163605207	89	37.48	3.31	80%	264374	260327805	140630	988	432396											
TARA_B100001248	333427578	33019530874	304975519	27277257586	89	38.00	3.15	83%	268373	277804338	168460	1047	469256											
TARA_B100001094	359284260	35484585604	324616652	30081810098	93	37.74	3.24	85%	454976	486648875	374006	1104	812125											
TARA_B100001105	437816192	42860450661	392702028	36147503029	92	37.29	3.43	84%	271246	274173778	145866	1030	449287											
TARA_B100001093	539113764	53487641681	462240205	42483903943	92	37.45	3.34	79%	568522	625040478	204982	1158	1030160											
TARA_B100001964	385071042	38426096650	359534838	33411192986	93	37.73	3.13	87%	333141	408984713	210376	1382	617241											
TARA_B100001971	402714396	40106578365	372718152	34563027616	93	37.59	3.19	86%	342465	379687635	391829	1179	596817											
TARA_B100001287	371142378	36455260631	331881103	30412213248	92	37.62	3.42	83%	308774	313272261	119309	1029	534264											
TARA_B100001996	391822972	38613633728	342491361	30970555564	90	37.79	3.26	80%	358648	350967245	62327	989	597191											
TARA_B100002003	346225714	34453611016	319703262	29553798419	92	37.56	3.20	86%	317257	357063555	132480	1202	558130											
TARA_B100001989	342278366	34045994384	311888634	28838038121	92	37.94	3.15	85%	284805	274884942	82195	953	475909											
TARA_B100002019	370334582	36849297558	335660959	31392579154	94	37.75	3.23	85%	344023	342828463	70104	1002	605014											
TARA_B100001939	342398030	33917602530	311469542	28472579199	91	37.72	3.27	84%	351981	353221524	330592	1017	621134											
TARA_B100002052	311581824	30926232458	288134459	26549309184	92	37.89	3.20	86%	345133	358093141	476323	1069	602143											
TARA_B100002049	328237008	32445992734	300762214	27513271132	91	37.56	3.31	85%	226283	229686542	220117	1014	379403											
TARA_B100002051	314283624	31151822592	288959000	26588911670	92	37.85	3.22	85%	365342	388905945	312333	1095	647902											
TARA_B100001146	354224626	35012444630	317444967	29066844971	92	37.38	3.36	83%	261771	279543539	258195	1105	444920											
TARA_B100001142	352030928	34724751061	317878065	29102367055	92	37.59	3.33	84%	376960	422770998	125319	1210	661458											
TARA_B100001167	307846576	30478289383	283448214	25911112372	91	37.59	3.29	85%	198498	179638024	81141	884	310927											
TARA_B100001540	338943134	33618784181	310522687	29052969048	94	37.64	3.29	86%	378485	391220408	70145	1063	648291											
TARA_B100001750	339721848	33529892640	300140171	27353825225	91	37.40	3.34	82%	358629	374972116	1737431	1068	614088											
TARA_B100001741	346238396	34061723556	304342528	27798441870	91	37.41	3.38	82%	360119	350557505	180945	971	602427											
TARA_B100001765	388065794	38144459509	329290893	29472197900	90	37.23	3.41	77%	215350	204130144	155280	935	346317											
TARA_B100001758	357891876	35306537802	314545851	28900738535	92	37.42	3.35	82%	375530	373121664	92529	1007	621107											
TARA_B100001778	364054734	36053577901	321040924	29279208423	91	37.67	3.25	81%	380377	372319831	403162	984	639695											
TARA_B100001769	387769558	38228644813	333852872	30606559808	92	37.43	3.37	80%	368441	343817982	54648	926	602520											
TARA_B100001559	369538288	36235703961	316857199	28622994115	90	37.32	3.43	79%	369196	363499327	109705	987	624688											
TARA_B100001564	396286730	39094876638	341045048	31276790761	92	37.45	3.37	80%	396412	400357591	183134	1025	685782											
TARA_B100001175	388462874	38443789167	349395064	32135502471	92	37.84	3.15	84%	378529	380822682	89380	1020	646981											
TARA_B100001179	345574560	34239796554	315718849	28992663100	92	37.68	3.17	85%	248340	249003229	124073	1019	413652											
TARA_B100001173	329240054	32684205384	302028834	27519850462	91	38.00	3.10	84%	327885	342964531	90350	1081	567036											
TARA_A100000172	87027012	8789728212	56912653	4861394732	85	37.08	3.46	55%	56835	61582079	77042	1138	111894											
TARA_S200000501	408427272	40773679727	374072229	33807232143	90	38.05	3.09	83%	420117	465399391	162056	1161	765168											
TARA_A100000171	95017812	8856890136	60175132	4944697147	82	36.12	3.76	56%	73799	99812943	92075	1654	156276											
TARA_A100000164	415570856	41388106064	374584396	34208305292	91	37.87	3.20	83%	441099	470461746	151716	1101	793339											
TARA_S200002703	115146482	11186255513	96555843	8655416152	90	37.32	3.38	77%	119803	138204109	152795	1250	248426											
TARA_X000001382	85864022	8672266222	62512991	5350210297	86	37.12	3.44	62%	88517	96204368	42374	1143	181438											
TARA_E500000081	149845934	16183360872	135522562	13257729231	98	38.31	2.73	82%	201652	214580555	65021	1122	359899											
TARA_E500000075	151825104	16397111232	134566031	12471851528	93	38.28	2.75	76%	195903	197302184	60528	1027	329928											
TARA_E500000305	105112790	10130406202	87407740	7867248575	90	37.13	3.45	78%	122016	145982942	560737	1290	244564											
TARA_E500000331	387230740	38429585977	349127221	32078718535	92	37.76	3.25	83%	394880	427670679	230790	1122	720456											
TARA_E500000318	104229466	10151737699	88882268	8047803494	91	37.45	3.29	79%	106865	126771568	389689	1289	217365											
TARA_E500000178	458295920	45364380801	402302512	36509375758	91	37.61	3.30	80%	415914	466664745	186988	1194	765561											
TARA_X000001388	82422050	8324627050	51480300	4341205476	84	36.99	3.51	52%	58037	71260479	102333	1386	124842											
TARA_A100001011	367820654	38168715484	314948276	29087479043	92	37.73	2.41	76%	449909	522595044	155731	1253	851822											
TARA_A100001015	488612256	49860767472	425125871	37872435439	89	37.81	3.02	76%	381015	477104260	136601	1476	743052											
TARA_A100001391	133926492	12880228543	109983931	9781153520	89	36.98	3.52	76%	133269	176932899	326496	1569	280830											
TARA_A100001388	403538306	39613032834	347841493	31711411531	91	37.69	3.26	80%	302316	290229109	171134	950	506972											
TARA_A100001518	129287490	11628801932	102479564	8621285766	84	36.52	3.53	74%	39796	52674887	89013	1601	82201											
TARA_A100001037	394451818	39070457496	347981762	31395998812	90	37.56	3.32	80%	354590	400574806	166759	1209	643223											
