PANGAEA Sample ID	Raw reads	Raw bases	HQ Reads	HQ Bases	Avg. read length [nt]	Avg. base score	Stdev base score	HQ Reads [%]	Scaftigs >= 500nt	Total scaftig length [nt]	Max. scaftig length [nt]	Scaftigs N50	Predicted genes											
TARA_B100000989	377820080	37390906215	336783339	30627483878	91	37.59	3.33	82%	265406	281103818	141473	1087	471684											
TARA_B100001029	256287760	25471386343	229203258	21036492379	92	37.78	3.26	83%	274032	259753071	74317	934	461832											
TARA_B100001013	451528640	44273846372	389577142	34617296134	89	37.33	3.44	78%	288619	260488672	101392	892	447983											
TARA_B100001027	253952482	25297051695	230668318	21118896519	92	37.88	3.19	83%	196862	188571390	76560	947	333075											
TARA_B100000886	338549582	33580197485	309852319	27914771163	90	38.09	3.07	83%	288541	285807244	95402	986	494782											
sum	72492220288	7.20126E+12	64155150124	5.821E+12	-	-	-	-	62500683	66729384516	46762032	-	111530851											
max	635896664	64356822843	574967451	53582940683	101	38.35	3.76	91%	568522	669353477	1737431	1809	1037513											
min	47924602	4840384802	44724459	4094378804	82	36.12	2.41	52%	33952	34097691	28421	857	61985											
mean	298321894	29634801961	264012963	23954747027	90	37.59	3.30	80%	257204	274606521	192436	1121	458975											
stdev	128358362	12745752480	115937382	10574949614	2.5	0.35	0.17	7%	124465	137909897	179569	176	220908											
